date,state,contact_method,age_group,gender,scam_category,scam_type,amount_lost,reports,year,month,month_name,source
2025-06-01,Outside of Australia,Online,Unspecified,Female,Buying or selling,Shopping scams,264.0,6,2025,6,June,NASC
2025-07-01,Outside of Australia,Online,Unspecified,Male,Buying or selling,Shopping scams,320.0,7,2025,7,July,NASC
2025-07-01,Outside of Australia,Online,Unspecified,Female,Buying or selling,Shopping scams,403.0,6,2025,7,July,NASC
2025-08-01,Outside of Australia,Online,Unspecified,Male,Buying or selling,Shopping scams,742.09,3,2025,8,August,NASC
2025-08-01,Outside of Australia,Online,Unspecified,Female,Buying or selling,Shopping scams,1196.3,9,2025,8,August,NASC
2025-01-01,Australian Capital Territory,Online,Unspecified,Female,Buying or selling,Shopping scams,684.0,6,2025,1,January,NASC
2025-01-01,Australian Capital Territory,Online,Unspecified,Male,Buying or selling,Shopping scams,192.0,3,2025,1,January,NASC
2025-02-01,Australian Capital Territory,Online,Unspecified,Male,Buying or selling,Shopping scams,100.0,3,2025,2,February,NASC
2025-02-01,Australian Capital Territory,Online,Unspecified,Female,Buying or selling,Shopping scams,432.93,6,2025,2,February,NASC
2025-03-01,Australian Capital Territory,Online,Unspecified,Male,Buying or selling,Shopping scams,0.0,3,2025,3,March,NASC
2025-03-01,Australian Capital Territory,Online,Unspecified,Female,Buying or selling,Shopping scams,617.25,3,2025,3,March,NASC
2025-04-01,Australian Capital Territory,Online,Unspecified,Male,Buying or selling,Shopping scams,500.0,3,2025,4,April,NASC
2025-04-01,Australian Capital Territory,Online,Unspecified,X (Indeterminate/Intersex/Unspecified),Buying or selling,Shopping scams,0.0,1,2025,4,April,NASC
2025-04-01,Australian Capital Territory,Online,Unspecified,Female,Buying or selling,Shopping scams,311.88,4,2025,4,April,NASC
